No,Name,Role,Reflect,Defense,Passing,Vision ,Physical,Speed,Dribble,Shoot,Market Value
1,Altay Bayindir,GK,97,44,55,35,68,71,65,4,15500000
2,Paul Bernardoni,GK,74,61,53,45,64,5,34,45,9000000
3,Alexandre Oukidja,GK,70,45,79,55,8,20,64,48,1500000
4,Andrey Lunev,GK,71,60,55,54,67,39,75,14,4000000
5,Mathew Ryan,GK,70,10,1,31,33,2,34,66,5000000
6,Matz Sels,GK,90,78,77,52,24,46,27,33,6500000
7,Yvon Mvogo,GK,99,68,19,48,44,40,23,69,2500000
8,Helton Leite,GK,98,3,18,56,61,68,65,11,4000000
9,Bruno Varela,GK,80,20,74,7,23,39,9,5,4000000
10,Nadeo Argawinata,GK,93,74,9,20,20,54,35,13,300000
11,Omar Richards,LB,79,25,76,18,14,32,66,52,7000000
12,Adrián Marín,LB,53,76,74,13,2,31,74,40,1200000
13,Marcus Pedersen,LB,75,74,84,61,62,44,68,14,4500000
14,Cristian Borja,LB,21,36,89,15,71,11,10,4,3000000
15,Dimitrios Giannoulis,LB,72,9,78,9,44,48,51,33,7000000
16,Javi Galán,LB,28,4,83,1,41,45,1,51,9000000
17,Mário Rui,LB,46,1,90,4,51,29,40,80,8000000
18,Luca Netz,LB,79,0,81,72,55,40,46,69,5000000
19,Taufik Hidayat,LB,67,60,82,33,43,68,52,5,50000
20,Eren Elmali,LB,56,3,92,30,57,14,18,41,1800000
21,Cédric Soares,RB,77,54,79,25,73,70,47,32,5000000
22,Damián Suárez,RB,70,52,90,55,60,67,30,66,1500000
23,Pasquale Mazzocchi,RB,60,11,92,49,27,41,72,27,1500000
24,Pascal Stenzel,RB,60,18,88,50,56,5,12,7,1500000
25,Wilson Manafá,RB,10,78,93,29,74,63,34,49,5500000
26,Yukinari Sugawara,RB,45,3,93,3,69,67,78,39,3000000
27,Bruno Peres,RB,67,52,89,40,30,4,8,75,2500000
28,Joël Veltman,RB,7,29,91,68,48,36,44,7,8000000
29,Nacho Vidal,RB,49,24,87,16,6,68,71,22,5000000
30,Adam Marusic,RB,18,26,86,48,34,77,10,65,7500000
31,Gian Marco Ferrari,CBL,34,81,42,74,21,29,5,68,10000000
32,Leonirdas Stergiou,CBL,53,70,47,15,63,78,15,77,7000000
33,Omar Colley,CBL,60,83,25,51,6,47,32,74,5000000
34,Jacob Greaves,CBL,58,74,3,39,3,7,70,22,45000000
35,Emanuel Gilarte,CBL,8,96,25,12,15,36,39,49,3000000
36,Marc Bartra,CBL,22,96,49,78,70,34,2,7,6000000
37,Jack Hendry,CBL,50,97,63,40,63,11,47,5,5000000
38,Alejandro Catena,CBL,31,77,73,75,75,10,1,4,4000000
39,Lautaro Valenti,CBL,71,90,78,74,13,70,41,21,3800000
40,Dmitri Chistyakov,CBL,19,74,13,46,59,47,59,10,3500000
41,Michael Ngadeu,CBR,2,71,23,54,53,10,41,18,3500000
42,Mattia Viti,CBR,30,72,1,9,61,58,21,4,4000000
43,Ousseynou Ba,CBR,55,72,75,64,2,72,65,6,4500000
44,David Hancko,CBR,1,95,17,70,66,54,20,51,4000000
45,Juan Jesus,CBR,49,84,67,69,73,34,25,46,4000000
46,Sepp Van Den Berg,CBR,23,72,67,48,48,4,16,64,5000000
47,Chris Richards,CBR,44,72,38,34,22,21,11,8,7500000
48,Alexander Djiku,CBR,65,80,54,52,25,39,46,56,9000000
49,Strahinja Pavlovic,CBR,73,73,15,20,32,56,12,40,8000000
50,Amos Pieper,CBR,12,85,78,73,73,35,74,36,7000000
51,Waldemar Anton,CBR,34,91,35,46,26,42,47,64,6000000
52,Malick Thiaw,CBR,71,70,28,55,69,29,32,62,5000000
53,Nino,CBR,46,74,65,76,52,15,1,19,6500000
54,Igor Diveev,CBR,23,84,40,79,4,51,53,55,6000000
55,Luis Abram,CBR,27,96,64,56,66,23,2,67,6000000
56,Ivan Rakitic,CMF,75,58,66,72,54,57,18,76,7000000
57,David Turnbull,CMF,43,98,57,86,36,46,60,74,6500000
58,Louise Sibley,CMF,49,30,23,91,12,42,26,44,3000000
59,Vladimit Darida,CMF,56,2,62,99,57,39,60,5,3200000
60,Zidan Sertdemi,CMF,69,61,59,71,34,0,27,53,2000000
61,Alexander Christiansen,CMF,34,92,36,76,21,64,1,66,25000000
62,Soner Dikmen,CMF,40,81,71,81,6,31,33,57,2300000
63,Ben Whiteman,CMF,77,23,8,89,6,41,47,59,2200000
64,Tom Carrol,CMF,34,5,73,99,12,66,64,34,1800000
65,Barry Bannan,CMF,42,69,15,94,68,4,39,23,1800000
66,Konstantinos Galanopoulos,CMF,43,92,75,81,50,8,19,21,1800000
67,Simon Sohm,DMFR,44,63,65,8,82,39,75,61,3500000
68,Amir Hadziahmetovic,DMFR,62,54,14,72,82,61,28,22,4500000
69,Krisijan Jakic,DMFR,58,89,35,17,71,58,60,8,7500000
70,Sergio Busquets,DMFR,80,1,55,34,72,18,47,25,9000000
71,Fredrik Aursnes,DMFR,66,83,1,17,71,47,23,43,7000000
72,Jens Cajuste,DMFR,56,10,11,32,85,60,13,41,5000000
73,Pedro Chirivella,DMFR,24,10,46,72,91,10,20,60,6000000
74,Leo Stulac,DMFR,19,15,72,38,96,67,55,56,3000000
75,Okay Yokuslu,DMFR,4,49,25,15,94,40,20,50,3500000
76,Filip Bradric,DMFR,43,20,43,51,83,45,31,73,2800000
77,Tudor Baluta,DMFL,7,94,71,32,86,32,33,34,2000000
78,Ryan Woods,DMFL,63,14,66,35,73,7,17,73,2500000
79,Dan Glazer,DMFL,77,76,5,10,82,17,64,38,1600000
80,Mirko Topic,DMFL,80,84,37,11,93,8,58,76,1500000
81,Oleksandr Noyok,DMFL,57,37,73,26,84,32,42,63,1300000
82,Gojko Cimirot,DMFL,4,31,30,45,75,20,56,80,1500000
83,Fabian Kunze,DMFL,9,100,36,55,81,50,48,46,1000000
84,Niklas Tauer,DMFL,40,8,63,70,97,51,16,25,1300000
85,Eric Martell,DMFL,69,31,59,18,89,73,31,78,2000000
86,Bartol Franjic,DMFL,69,14,30,63,83,71,22,40,4500000
87,Jan Thielmann,RW,54,27,54,12,23,74,81,16,5500000
88,Jan Thielmann,RW,34,8,26,33,4,78,99,77,7000000
89,Andros Townsend,RW,0,56,64,58,7,86,95,59,4500000
90,Liel Abada,RW,31,100,40,44,60,73,83,45,3500000
91,Shapi Suleymanov,RW,68,5,30,75,15,80,90,75,3800000
92,Francis Azumu,RW,32,44,74,48,26,78,86,17,2000000
93,Ian Poveda,RW,79,53,34,58,22,95,74,22,2500000
94,Thomas Murg,RW,4,39,39,54,66,97,77,45,2800000
95,Ruben Rochina,RW,71,59,10,47,35,89,99,29,1200000
96,Damian Kadzior,RW,6,53,17,1,8,91,91,16,800000
97,Aylton Boa Morte,RW,70,60,78,27,54,74,87,13,4500000
98,Aleksandar Katai,LW,17,81,0,55,17,76,76,62,7000000
99,Marcus Paulo,LW,29,46,19,29,1,73,77,26,9000000
100,Nathael Mbuku,LW,48,98,43,40,4,81,84,29,6000000
101,Jaidon Anthony,LW,22,92,41,29,21,93,87,33,3000000
102,Myrto Uzuni,LW,25,73,20,20,67,76,76,4,2500000
103,Rafael Camacho,LW,45,90,15,7,44,92,93,14,1500000
104,Dimitrios Minios,LW,11,80,69,37,60,71,89,42,900000
105,Jan Sykora,LW,27,1,75,39,51,78,95,61,2000000
106,Assio Zerbin,LW,62,50,43,37,67,90,85,22,8000000
107,Moi Gomez,LW,53,40,42,33,71,76,73,43,1000000
108,Manuel Wintzheimer,ST,63,14,31,8,70,2,36,96,1000000
109,Marcus Berg,ST,37,7,61,64,51,56,17,86,1200000
110,Luca Vido,ST,48,56,63,20,74,34,14,94,1400000
111,Eran Zahvani,ST,28,73,2,54,47,70,60,81,1500000
112,Simon Zolller,ST,32,34,47,2,28,14,18,77,1800000
113,Ashley Barnes,ST,23,56,41,50,64,38,45,87,2000000
114,Pieros Sotiriou,ST,52,11,22,22,16,65,58,72,2200000
115,Mikhael Ishak,ST,63,64,42,33,2,11,52,91,3000000
116,Kieffer Moore,ST,10,77,6,50,4,72,64,75,5000000
117,Dante Vanzeir,ST,50,27,6,41,74,6,47,75,5500000
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
